"state","compensation"
"Alabama","53913"
"Alaska","50400"
"Arizona","24000"
"Arkansas","44356"
"California","122694"
"Colorado","43977"
"Connecticut","40000"
"Delaware","49202"
"Florida","18000"
"Georgia","23341.72"
"Hawaii","72348"
"Idaho","19913"
"Illinois","85000"
"Indiana","29749"
"Iowa","25000"
"Kansas","6500"
"Kentucky","15000"
"Louisiana","16800"
"Maine","16245.12"
"Maryland","52343"
"Massachusetts","73655.01"
"Michigan","71685"
"Minnesota","48250"
"Mississippi","23500"
"Missouri","37711"
"Montana","8300"
"Nebraska","12000"
"Nevada","14000"
"New Hampshire","100"
"New Jersey","49000"
"New Mexico","0"
"New York","142000"
"North Carolina","13951"
"North Dakota","2148"
"Ohio","69876"
"Oklahoma","47500"
"Oregon","35052"
"Pennsylvania","102844.07"
"Rhode Island","17626.63"
"South Carolina","10400"
"South Dakota","14778.60"
"Tennessee","28406"
"Texas","7200"
"Utah","11750"
"Vermont","14600"
"Virginia","17640"
"Washington","57876"
"West Virginia","20000"
"Wisconsin","57408"
"Wyoming","6000"
